day,hour,pressure_mmHg,event_dttm
2022-06-05,0,753.0,2022-06-05 00:00:00
2022-06-05,1,753.5,2022-06-05 01:00:00
2022-06-05,2,754.0,2022-06-05 02:00:00
2022-06-05,3,754.0,2022-06-05 03:00:00
2022-06-05,4,754.5,2022-06-05 04:00:00
2022-06-05,5,755.0,2022-06-05 05:00:00
2022-06-05,6,755.0,2022-06-05 06:00:00
2022-06-05,7,755.5,2022-06-05 07:00:00
2022-06-05,8,755.5,2022-06-05 08:00:00
2022-06-05,9,756.0,2022-06-05 09:00:00
2022-06-05,10,756.0,2022-06-05 10:00:00
2022-06-05,11,755.5,2022-06-05 11:00:00
2022-06-05,12,755.0,2022-06-05 12:00:00
2022-06-05,13,754.5,2022-06-05 13:00:00
2022-06-05,14,754.0,2022-06-05 14:00:00
2022-06-05,15,753.5,2022-06-05 15:00:00
2022-06-05,16,753.0,2022-06-05 16:00:00
2022-06-05,17,752.5,2022-06-05 17:00:00
2022-06-05,18,752.0,2022-06-05 18:00:00
2022-06-05,19,752.0,2022-06-05 19:00:00
2022-06-05,20,751.5,2022-06-05 20:00:00
2022-06-05,21,751.0,2022-06-05 21:00:00
2022-06-05,22,751.0,2022-06-05 22:00:00
2022-06-05,23,750.5,2022-06-05 23:00:00
2022-06-06,0,750.5,2022-06-06 00:00:00
2022-06-06,1,750.0,2022-06-06 01:00:00
2022-06-06,2,749.5,2022-06-06 02:00:00
2022-06-06,3,749.0,2022-06-06 03:00:00
2022-06-06,4,749.0,2022-06-06 04:00:00
2022-06-06,5,748.5,2022-06-06 05:00:00
2022-06-06,6,748.0,2022-06-06 06:00:00
2022-06-06,7,748.0,2022-06-06 07:00:00
2022-06-06,8,748.0,2022-06-06 08:00:00
2022-06-06,9,748.5,2022-06-06 09:00:00
2022-06-06,10,749.0,2022-06-06 10:00:00
2022-06-06,11,749.0,2022-06-06 11:00:00
2022-06-06,12,749.5,2022-06-06 12:00:00
2022-06-06,13,750.0,2022-06-06 13:00:00
2022-06-06,14,750.0,2022-06-06 14:00:00
2022-06-06,15,750.5,2022-06-06 15:00:00
2022-06-06,16,751.0,2022-06-06 16:00:00
2022-06-06,17,751.0,2022-06-06 17:00:00
2022-06-06,18,751.5,2022-06-06 18:00:00
2022-06-06,19,752.0,2022-06-06 19:00:00
2022-06-06,20,752.0,2022-06-06 20:00:00
2022-06-06,21,752.5,2022-06-06 21:00:00
2022-06-06,22,753.0,2022-06-06 22:00:00
2022-06-06,23,753.0,2022-06-06 23:00:00
