day,hour,pressure_mmHg,event_dttm
2023-10-27,0,721.0,2023-10-27 00:00:00
2023-10-27,1,722.0,2023-10-27 01:00:00
2023-10-27,2,722.0,2023-10-27 02:00:00
2023-10-27,3,722.0,2023-10-27 03:00:00
2023-10-27,4,722.0,2023-10-27 04:00:00
2023-10-27,5,723.0,2023-10-27 05:00:00
2023-10-27,6,724.0,2023-10-27 06:00:00
2023-10-27,7,724.0,2023-10-27 07:00:00
2023-10-27,8,724.0,2023-10-27 08:00:00
2023-10-27,9,725.0,2023-10-27 09:00:00
2023-10-27,10,726.0,2023-10-27 10:00:00
2023-10-27,11,727.0,2023-10-27 11:00:00
2023-10-27,12,727.0,2023-10-27 12:00:00
2023-10-27,13,727.0,2023-10-27 13:00:00
2023-10-27,14,727.0,2023-10-27 14:00:00
2023-10-27,15,727.0,2023-10-27 15:00:00
2023-10-27,16,728.0,2023-10-27 16:00:00
2023-10-27,17,728.0,2023-10-27 17:00:00
2023-10-27,18,728.0,2023-10-27 18:00:00
2023-10-27,19,728.7,2023-10-27 19:00:00
2023-10-27,20,729.4,2023-10-27 20:00:00
2023-10-27,21,729.4,2023-10-27 21:00:00
2023-10-27,22,729.4,2023-10-27 22:00:00
2023-10-27,23,730.2,2023-10-27 23:00:00
2023-10-28,0,730.2,2023-10-28 00:00:00
2023-10-28,1,730.2,2023-10-28 01:00:00
2023-10-28,2,730.2,2023-10-28 02:00:00
2023-10-28,3,730.2,2023-10-28 03:00:00
2023-10-28,4,730.2,2023-10-28 04:00:00
2023-10-28,5,730.2,2023-10-28 05:00:00
2023-10-28,6,730.2,2023-10-28 06:00:00
2023-10-28,7,730.2,2023-10-28 07:00:00
2023-10-28,8,730.2,2023-10-28 08:00:00
2023-10-28,9,729.4,2023-10-28 09:00:00
2023-10-28,10,728.0,2023-10-28 10:00:00
2023-10-28,11,727.2,2023-10-28 11:00:00
2023-10-28,12,726.5,2023-10-28 12:00:00
2023-10-28,13,725.0,2023-10-28 13:00:00
2023-10-28,14,724.2,2023-10-28 14:00:00
2023-10-28,15,723.5,2023-10-28 15:00:00
2023-10-28,16,722.7,2023-10-28 16:00:00
2023-10-28,17,722.7,2023-10-28 17:00:00
2023-10-28,18,721.2,2023-10-28 18:00:00
