section_no,ch4_percent,measurement_height_cm
2,7.09,0
4,0.68,0
6,2.0,0
8,0.42,0
10,0.91,0
12,0.5,0
14,0.39,0
16,0.66,0
18,0.45,0
20,0.42,0
22,0.45,0
24,0.43,0
26,3.43,0
28,0.47,0
30,0.36,0
32,0.47,0
34,0.43,0
36,0.41,0
38,0.32,0
40,0.41,0
42,0.34,0
44,0.43,0
46,0.46,0
48,0.9,0
50,5.73,0
58,0.47,0
60,0.4,0
62,0.4,0
64,0.97,0
66,54.8,0
68,0.44,0
70,0.69,0
72,0.44,0
74,2.42,0
76,0.65,0
78,1.67,0
80,0.49,0
82,9.28,0
84,1.2,0
86,0.62,0
88,0.97,0
90,0.72,0
92,5.6,0
94,0.41,0
96,0.35,0
98,0.26,0
100,0.36,0
102,0.35,0
104,0.42,0
106,0.53,0
108,0.6,0
110,0.32,0
112,0.56,0
114,0.53,0
116,0.42,0
118,0.63,0
120,0.66,0
122,4.93,0
124,9.18,0
126,0.54,0
128,3.98,0
130,7.8,0
132,1.2,0
134,2.0,0
136,1.95,0
138,5.6,0
139,2.9,0
140,17.9,0
141,5.6,0
142,7.2,0
143,0.25,0
144,0.48,0
