section_no,ch4_percent,measurement_height_cm
2,0.35,0
4,0.41,0
6,0.38,0
8,0.55,0
10,0.72,0
12,0.44,0
14,0.39,0
16,0.51,0
18,0.68,0
20,0.43,0
22,0.37,0
24,0.49,0
26,1.82,0
28,0.46,0
30,0.4,0
32,0.38,0
34,0.44,0
36,0.52,0
38,0.35,0
40,0.47,0
42,0.39,0
44,0.55,0
46,0.61,0
48,0.73,0
50,2.18,0
52,0.44,0
54,0.38,0
56,0.42,0
58,0.5,0
60,3.47,0
62,0.45,0
64,0.4,0
66,0.53,0
68,0.48,0
70,0.36,0
72,1.95,0
74,0.44,0
76,0.39,0
78,0.57,0
80,0.43,0
82,4.31,0
84,0.38,0
86,0.51,0
88,42.6,0
90,0.47,0
92,0.39,0
94,0.55,0
96,3.1,0
98,0.42,0
100,0.37,0
102,0.48,0
104,0.43,0
106,0.55,0
108,2.77,0
110,0.4,0
112,0.36,0
114,0.52,0
116,0.44,0
118,0.38,0
120,0.47,0
